Player: jz
Level: 1
Score: 10
Frames: 175
=== REPLAY DATA ===
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
101,101
104,104
107,107
110,110
113,113
116,116
119,119
122,122
125,125
128,128
131,131
135,135
138,138
141,141
144,144
147,147
150,150
153,153
156,156
159,159
162,162
166,166
169,169
172,172
175,175
178,178
181,181
184,184
187,187
190,190
193,193
196,196
199,199
202,202
205,205
208,208
211,211
215,215
218,218
221,221
224,224
227,227
230,230
233,233
236,236
239,239
242,242
245,245
248,248
251,251
254,254
257,257
260,260
263,263
267,267
270,270
272,272
276,276
279,279
282,282
285,285
288,288
291,291
294,294
297,297
300,300
303,303
306,306
309,309
313,313
315,315
319,319
322,322
325,325
328,328
331,331
334,334
337,337
340,340
342,343
339,346
335,349
332,352
330,355
327,358
323,361
320,364
317,367
314,370
311,373
308,376
305,379
302,382
299,385
296,389
293,392
290,395
287,398
284,401
281,404
278,407
275,410
271,413
268,416
265,419
262,422
259,425
256,428
253,432
250,434
247,438
244,441
241,444
238,447
235,450
232,453
229,456
226,459
222,462
220,465
216,468
213,471
210,474
207,477
204,481
201,484
198,487
195,490
192,493
189,496
186,499
182,502
179,505
176,508
173,511
170,514
167,517
164,520
161,523
158,526
155,530
152,533
149,536
146,539
143,542
140,545
137,548
134,551
131,554
128,557
125,560
122,563
119,566
116,569
113,572
111,575
111,578
111,581
113,584
115,587
118,590
122,593
125,596
128,599
131,602
