Player: hrt
Level: 1
Score: 4
Frames: 112
=== REPLAY DATA ===
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
102,100
106,100
109,100
112,103
115,106
118,109
121,112
124,115
127,118
130,121
133,124
136,127
139,130
142,133
145,136
148,139
151,142
154,145
157,148
160,151
163,154
166,157
169,160
172,163
175,166
178,169
182,173
185,175
187,178
191,182
194,185
197,188
200,191
203,194
206,197
209,200
212,203
215,206
218,209
221,212
224,215
227,218
230,221
233,224
237,228
240,231
241,234
239,237
236,240
233,243
230,246
227,249
224,252
221,255
218,258
219,261
222,264
225,267
228,270
231,273
234,276
237,279
240,282
243,285
246,288
249,288
252,288
255,288
258,288
261,288
264,288
267,291
267,294
267,297
267,300
264,303
261,306
258,309
255,312
252,315
249,318
246,322
243,325
240,328
237,331
234,334
231,337
228,340
225,343
222,346
219,349
216,352
212,355
209,358
206,361
203,364
200,367
197,370
194,373
191,376
188,379
