Player: t4ew
Level: 1
Score: 15
Frames: 105
=== REPLAY DATA ===
1292,0
1292,0
1292,0
1292,0
1292,0
1292,0
1292,9
1292,18
1288,27
1279,37
1270,46
1260,55
1251,64
1242,74
1233,78
1223,78
1214,78
1208,75
1208,66
1211,57
1220,48
1230,39
1233,36
1223,40
1214,49
1217,59
1226,68
1233,77
1224,86
1214,95
1207,105
1207,106
1207,100
1207,91
1207,82
1216,82
1223,88
1215,97
1206,106
1197,115
1187,124
1178,134
1169,143
1160,152
1150,154
1141,154
1132,154
1123,154
1114,154
1104,154
1095,144
1086,135
1076,126
1067,117
1058,115
1049,115
1039,115
1030,115
1021,115
1012,115
1003,124
993,133
984,141
975,141
966,141
957,141
948,141
939,141
933,147
942,156
951,166
961,175
970,184
962,193
953,203
944,206
934,206
925,206
916,206
906,206
897,203
887,198
878,198
872,204
878,213
887,223
897,232
906,241
915,251
925,260
934,270
944,279
953,288
962,298
972,307
981,316
990,325
1000,335
1009,344
1018,353
1024,363
1021,372
1021,381
1021,390
1021,400
