Player: grthzh
Level: 1
Score: 14
Frames: 349
=== REPLAY DATA ===
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
101,100
104,100
107,100
110,100
114,103
117,106
120,109
123,112
126,115
129,118
132,121
135,124
138,127
141,130
144,133
147,136
150,139
153,142
156,145
159,148
162,151
165,154
168,157
171,160
174,164
177,167
180,170
180,173
180,175
180,179
182,182
185,185
188,188
191,191
194,194
197,197
200,200
203,203
206,206
209,209
212,212
215,215
218,218
221,221
224,224
227,227
230,230
233,233
236,236
239,239
242,242
245,245
248,248
251,251
254,254
257,257
260,260
263,263
267,266
270,269
273,272
276,275
279,278
282,281
285,284
288,287
291,290
294,293
297,296
300,299
303,302
306,306
309,309
312,312
315,315
318,318
321,321
324,324
327,327
330,330
333,333
336,336
339,339
342,342
345,345
348,348
351,351
354,354
357,357
360,360
363,363
366,366
369,369
372,372
375,375
378,378
381,381
384,384
387,387
390,390
393,393
396,396
399,399
402,402
405,405
408,408
411,411
414,414
417,417
420,420
423,423
426,426
430,429
433,432
436,435
439,438
442,441
445,444
448,447
451,450
454,453
457,457
460,459
463,461
466,461
469,461
472,460
475,457
478,453
481,450
484,447
487,444
490,441
493,438
496,435
499,432
502,429
505,426
508,423
511,420
514,417
517,414
520,411
524,408
527,405
530,402
533,399
536,396
539,392
542,389
545,386
548,383
551,380
554,377
557,374
560,371
563,368
566,365
569,362
572,359
575,356
579,353
582,350
585,347
588,344
591,341
594,338
597,335
600,331
603,328
606,325
609,322
612,319
615,316
619,313
621,310
625,307
628,304
631,301
634,298
637,295
640,292
643,288
646,285
649,282
652,279
655,276
658,273
661,270
664,267
667,264
670,261
674,258
677,255
680,252
683,249
686,246
689,243
692,240
695,237
698,234
701,231
704,228
707,225
710,221
713,219
716,215
719,212
722,209
725,206
728,203
731,200
734,197
737,194
741,191
744,188
747,185
750,182
753,179
756,176
759,173
762,173
765,173
768,173
771,173
774,176
777,179
780,182
783,185
786,188
789,191
793,194
796,197
799,200
802,203
805,206
808,209
811,212
814,215
817,218
820,221
823,224
826,227
829,230
832,233
835,237
838,239
841,243
844,246
847,249
850,252
853,255
856,258
859,261
862,264
865,267
868,270
871,273
874,276
878,279
880,282
884,285
887,288
890,291
893,294
896,297
899,300
902,303
905,306
905,309
905,312
905,315
905,318
905,321
905,325
905,328
905,331
905,334
906,337
909,340
912,343
915,346
918,349
921,352
925,355
925,358
925,361
926,364
929,367
932,370
935,373
937,376
937,379
938,382
941,385
944,388
947,391
947,394
947,397
950,400
953,403
956,406
959,409
963,412
965,415
969,419
972,421
975,425
978,428
981,431
984,434
987,437
990,440
993,443
996,446
999,449
1002,452
1005,455
1008,458
1011,461
1014,464
1017,467
1020,470
1023,473
1026,476
1029,479
1032,482
1036,485
1039,489
1042,492
1045,495
1048,498
1051,501
1054,504
1057,507
1060,510
1060,513
1058,516
